company_name,recruiter_name,job_title,location,employment_type,job_level,job_function,salary_lower,salary_upper,salary_period,num_applications,posted_date,address,experience,closing_date,job_description,Salary
ELGO TECHNOLOGIES PTE. LTD.,,AI Engineering Intern,South,Contract,Executive,Non-Information Technology,1000,1200,Monthly,6,27 Mar 2024,67 Ayer Rajah Crescent 139950,,26 Apr 2024,"Roles & Responsibilities

Company Summary:
ELGO Technologies is a dynamic startup at the forefront of AI technology, specializing in crafting bespoke AI solutions that drive business transformation. Our mission centers around the responsible use of AI, with a strong commitment to ethical practices, security, and user-centric design. We pride ourselves on our innovative approach to integrating AI in various business processes, fostering an environment where technology meets creativity to solve real-world challenges. We also strive to be the top LLM application experts in the region.

Job Description:
As an AI Engineering Intern, you'll be instrumental in developing and maintaining our suite of AI-powered applications. Your role involves working fine-tuning open-source or existing LLMs, conduct evaluations and monitor performance, optimizing model inference, and work on the development of LLM agents or multi-agent APIs. You will work closely with the CTO and product development team, contributing directly to projects and R&D that embody our commitment to ethical AI and user-centric design. This position is a full-time internship for a period of minimum 4 months.

Roles & Responsibilities:
· Design, develop, and maintain AI backend for AI applications.
· Perform fine-tuning and other techniques to develop specialized LLMs.
· Research and experiment new techniques and models to enhance existing model and application offerings.
· Perform optimization for model inference in production and monitor performance.
· Assist to develop internal library for agents and multi-agent applications.
· Stay up-to-date with emerging trends in Gen AI technologies.

Requirements:
Core Requirements
· Currently pursuing a Bachelor’s degree in Computer Science, AI Engineering, or related field.
· Good working knowledge on backend web development, DevOps/MLOps, and LLMs.
· Advance python programming with working knowledge on langchain and transformers.
· Experience with database technology (e.g., MySQL, MongoDB, NoSQL DBs).
· Good working knowledge of Cloud Platforms (Main cloud: AWS, secondary clouds: Azure, GCP).

Key Traits
· Strong problem-solving skills and willingness to learn new technologies.
· Excellent communication and teamwork skills.
· Willing to proactively voice opinions and thoughts on the business.
· Self-driven and proactive learner.

Optional Requirements
· Prior experience fine-tuning or merging LLMs
· Golang for backend scripting
· Javascript and relevant frameworks (React.js, React Native) for frontend scripting
· Knowledge on advance implementations of LLMs in the form of RAG, agents and multi-agent applications.

What We Offer:
· Opportunity to work in a vibrant tech startup environment.
· Exposure to cutting-edge AI technologies and ethical AI practices.
· A supportive, inclusive, and dynamic team culture.
· Opportunities for accelerated professional growth and development.
· Opportunity to work on interesting projects with high business/social impact.
ELGO Technologies is committed to equal employment opportunities and welcomes applications from all qualified candidates.",1000-1200 Monthly
TECHNOLOGY SERVICES GROUP PTE. LTD.,,Chief Technology Officer (CTO) - AI Powered Hedge Fund,South,Full Time,Senior Management,Information Technology,15000,18000,Monthly,19,27 Mar 2024,"Keppel Bay Tower, 1 Harbourfront Ave 098632",10.0,26 Apr 2024,"Roles & Responsibilities
Are you a visionary technology leader with a passion for finance and a deep understanding of artificial intelligence? Are you eager to spearhead the development of a cutting-edge hedge fund that leverages machine learning to generate alpha? If so, then this is the opportunity for you!

About Us:
TSGS is a dynamic, forward-thinking company at the forefront of the financial technology revolution. We are launching a truly AI-powered hedge fund, and we are seeking a talented and experienced CTO to lead the charge.

What You Will Do:
As CTO, you will be responsible for crafting and executing our technological vision. You will develop a multi-year roadmap that focuses on artificial intelligence, machine learning, and Python development.
You will lead a team of brilliant engineers and data scientists, fostering a collaborative and innovative culture.
You will partner with the investment team to identify and implement AI-driven trading strategies.
You will ensure that our systems are secure, scalable, and reliable.
You will stay abreast of the latest advancements in AI and machine learning, and identify opportunities to leverage these technologies to give our fund a competitive edge.
What We Are Looking For:
10+ years of experience in financial technology, with a proven track record of success in a leadership role.
Deep expertise in artificial intelligence, machine learning, and Python development.
Experience in developing and deploying quantitative trading models.
A strong understanding of the financial markets and the hedge fund industry.
Exceptional leadership and communication skills.
A passion for innovation and a relentless drive to succeed.",15000-18000 Monthly
NATIONAL UNIVERSITY OF SINGAPORE,,"Software Engineer, AI Centre for Educational Technologies - School of Computing (1 year)",South,Full Time,Executive,Information Technology,6000,9000,Monthly,6,27 Mar 2024,21 LOWER KENT RIDGE ROAD 119077,,10 Apr 2024,"Roles & Responsibilities
Interested applicants are invited to apply directly at the NUS Career Portal.
Your application will be processed only if you apply via NUS Career Portal.

We regret that only shortlisted candidates will be notified.

Job Purpose
The AI Centre for Educational Technologies (AICET) is a research centre that is focused on developing technologies to improve learning. AICET collaborates with the Ministry of Education, Singapore and the National University of Singapore on various projects to build systems that provide immediate personalised feedback to the students, providing content that adapts to their performance, and improve assessment and grading efficiency and effectiveness.

The Software Engineer will be part of a team that will build next generation education platforms for the AI Centre for Educational Technologies. (AICET).
Job Description
To build software for the AI Centre for Education Technologies (AICET) under one of the AICET’s projects. Current projects include:
Codaveri – An auto-feedback programming system
Coursemology - a gamified e-learning platform
Softmark – An online grading tool
The exact responsibilities and project assigned will be discussed with the successful candidate subject to suitability and also depending on AICET’s needs.
Qualifications
A graduate or postgraduate degree in relevant discipline. Those with no experience are welcome to apply.
Team player with excellent communication and interpersonal skills.
Ability to build a collaborative working relationship with people at all levels.
Familiarity with web development with modern tech stacks and technologies like Ruby on Rails, nodejs, Golang, React, and JavaScript/TypeScript.
Experience with AI and/or EdTech platforms and system will be preferred.",6000-9000 Monthly
SNOWFLAKE COMPUTING SINGAPORE PTE. LTD.,Recommended based on your skills & job applications,Sr. Solutions Architect - AI / ML,Central,Permanent,Professional,Information Technology10 Years Exp,18000,34000,Monthly,20,18 Mar 2024,"SGX CENTRE II, 4 SHENTON WAY 068807",10.0,17 Apr 2024,"Roles & Responsibilities
SUMMARY
We are looking for people who have a strong background in data science and cloud architecture to join our AI/ML Workload Services team to create exciting new offerings and capabilities for our customers! This team within the Professional Services group will be working with customers using Snowflake to expand their use of the Data Cloud to bring data science pipelines from ideation to deployment, and beyond using Snowflake's features and its extensive partner ecosystem. The role will be highly technical and hands-on, where you will be designing solutions based on requirements and coordinating with customer teams, and where needed Systems Integrators.
AS A SENIOR SOLUTIONS ARCHITECT - AI/ML AT SNOWFLAKE, YOU WILL:
Be a technical expert on all aspects of Snowflake in relation to the AI/ML workload.
Build, deploy and ML pipelines using Snowflake features and/or Snowflake ecosystem partner tools based on customer requirements.
Work hands-on where needed using SQL, Python, Java and/or Scala to build POCs that demonstrate implementation techniques and best practices on Snowflake technology within the Data Science workload.
Follow best practices, including ensuring knowledge transfer so that customers are properly enabled and are able to extend the capabilities of Snowflake on their own
Maintain deep understanding of competitive and complementary technologies and vendors within the AI/ML space, and how to position Snowflake in relation to them
Work with System Integrator consultants at a deep technical level to successfully position and deploy Snowflake in customer environments
Provide guidance on how to resolve customer-specific technical challenges.
Support other members of the Professional Services team develop their expertise.
Collaborate with Product Management, Engineering, and Marketing to continuously improve Snowflake’s products and marketing.
OUR IDEAL SENIOR SOLUTION ARCHITECT - AI/ML WILL HAVE:
Minimum 10 years experience working with customers in a pre-sales or post-sales technical role.
Outstanding skills presenting to both technical and executive audiences, whether impromptu on a whiteboard or using presentations and demos
Thorough understanding of the complete Data Science life-cycle including feature engineering, model development, model deployment and model management.
Strong understanding of MLOps, coupled with technologies and methodologies for deploying and monitoring models.
Experience and understanding of at least one public cloud platform (AWS, Azure or GCP)
Experience with at least one Data Science tool such as AWS Sagemaker, AzureML, Dataiku, Datarobot, H2O, and Jupyter Notebooks,
Hands-on scripting experience with SQL and at least one of the following; Python, Java or Scala.
Experience with libraries such as Pandas, PyTorch, TensorFlow, SciKit-Learn or similar.
University degree in computer science, engineering, mathematics or related fields, or equivalent experience
BONUS POINTS FOR HAVING:
Experience with Databricks/Apache Spark
Experience implementing data pipelines using ETL tools
Experience working in a Data Science role
Proven success at enterprise software
Vertical expertise in a core vertical such as FSI, Retail, Manufacturing etc.",18000-34000 Monthly
BIOQUEST ADVISORY PTE. LTD.,,AI & Advanced Analytics Consultant,Islandwide,Contract,Professional,Consulting,6000,9000,Monthly,2,27 Mar 2024,,5.0,26 Apr 2024,"Roles & Responsibilities
We are looking for an AI & Advanced Analytics Consultant to enhance our team's capability in deploying artificial intelligence and advanced analytics to effect transformative changes for our clients. This role centres on developing and implementing strategic solutions leveraging generative AI (GenAI) and graph data science, aimed at delivering comprehensive, client-specific outcomes.

Key Responsibilities
Solution Development: Develop sophisticated AI and analytics solutions, with a focus on practical application and integration into client operations. Ensure the creation of efficient systems that align with client needs.
Client Engagement: Work closely with clients to identify their business challenges and objectives. Foster strong relationships through effective communication and strategic advisement, guaranteeing customized solution delivery.
Technical Expertise: Showcase proficiency in SQL and Python. Knowledge in graph data science (e.g., Neo4j, AWS Neptune) and generative AI models like Retrieval-Augmented Generation (RAG) and large language models (LLMs) is advantageous.
Project Oversight: Manage the full project lifecycle, from conception through delivery, prioritizing timeliness, adherence to scope, and excellence in execution. Lead the charge in end-to-end solutioning, encompassing requirement analysis, system design, development, testing, and deployment.
Continuous Learning: Stay current with advancements in AI, analytics, and related technology areas. Engage in R&D to explore emerging technologies and methodologies that could refine our service offerings.
Qualifications
Education: Bachelor’s degree in Data Science, Computer Engineering, or related fields.
Experience: Minimum of 5 years in a relevant role, ideally with client-facing experience in the AI or analytics consulting domain.
Technical Skills
Required: Strong proficiency in SQL and Python. Good to Have: Experience with graph data science tools (Neo4j, AWS Neptune), generative AI (RAG, LLMs), and familiarity with cloud AI platforms (Azure Cognitive Services, AWS SageMaker, GCP Vertex AI).
· Soft Skills: Exceptional problem-solving and innovative thinking. Outstanding communication and teamwork capabilities. Effective in client engagement and maintaining relationships.
Why join us?

At BioQuest, we value collaboration, teamwork, and knowledge sharing. Our culture is supportive and inclusive, with a strong emphasis on ethics and diversity. You'll have opportunities to learn about emerging technologies, receive mentorship from experienced consultants, and work in a supportive and collaborative environment. For high performers, there is an excellent career growth path.

We are an equal opportunity employer and welcome applicants from all backgrounds.",6000-9000 Monthly
PERSOLKELLY SINGAPORE PTE. LTD.,,AI Engineer - FSI candidate are welcome,Islandwide,Permanent,Professional,Information Technology,10000,20000,Monthly,22,26 Mar 2024,,5.0,25 Apr 2024,"Roles & Responsibilities
Join a leading conglomerate in the financial services sector as an AI Engineer proficient in Mandarin. Leveraging our extensive background in connecting industries and investments through innovative financial solutions, you'll have the opportunity to contribute to cutting-edge AI solutions. If you're passionate about machine learning and deep learning algorithms and possess strong programming skills, we encourage you to apply and be part of our dynamic and collaborative team.
Job Description:
Design, implement, and optimize machine learning and deep learning algorithms to solve real-world problems.
Process and clean raw data, perform feature extraction, and transform data for training and evaluating machine learning models.
Train machine learning models using large-scale datasets and assess model performance and accuracy.
Responsible for model training, parameter fine-tuning, and deployment.
Job Requirements:
Postgraduate degree or above in Machine Learning.
Proficient in deep learning frameworks.
Fluency in programming languages such as Python, Java, and C++.

Interested candidate who wish to apply for the advertised position, please click on “Apply Now”. We regret that only shortlisted candidates will be notified.

Job Code: PEIF
EA License No. 01C4394

By sending us your personal data and curriculum vitae (CV), you are deemed to consent to PERSOLKELLY Singapore Pte Ltd and it’s overseas subsidiaries and affiliates collecting, using and disclosing your personal data to prospective employers/companies based in any country for purposes of evaluating suitability for employment, conducting reference checks, administering employment related services and such other purposes stated in our privacy policy. Our full privacy policy is available at www.persolkelly.com.sg. If you wish to withdraw your consent, please drop us an email to let us know. Please feel free to contact us if you have any queries.",10000-20000 Monthly
JOBTECH PTE. LTD.,,Senior Backend Developer (AI Data Analytics),West,Permanent,Executive,Information Technology,5000,7000,Monthly,0,25 Mar 2024,"ICON@IBP, 3A INTERNATIONAL BUSINESS PARK 609935",3.0,24 Apr 2024,"Roles & Responsibilities
About JobTech
JobTech is the world's leading artificial intelligence and big labour data analytics product company that empowers leaders to develop people for new work realities, driven by real labour market needs and individuals' personal aspiration. JobTech is growing rapidly with global big names customers from both private and public sectors.

About the Team
The JobTech team is an enthusiastic bunch, obsessed with solving human capital business problems in talent development, using deep technology and labour market data. We embrace empowerment and appreciate the depth of every member’s area of expertise. We are hands-on dreamers who are willing to invest in projects and people. If you think you should be part of this awesome team looking to scale faster and better, don’t be shy and let us know!

Job Description
Design, build and maintain webservices to deliver high availability and performance
Design, build and maintain complex business rules engine in a production environment
Own and take responsibility of end-to-end delivery of modules and deployments
Understand legacy codes and debug, optimise and refactor them.
Assist CTO in managing technical SCRUM tasks
Work together with technical team as a whole to address customers’ issues, respond to incidents and implement SOPs to improve technical operations.
Manage enterprise integrations to ensure quality service delivery and testing.
Work closely with CTO to implement and oversee DevOps practices
Work closely with CTO to enhance software architecture and infrastructure.
Collaborate with data scientists to seamlessly integrate the different analytics components
Maintain code quality, organization and automation.
Requirements
A self-starter that can thrive in a fast-paced environment.
At least 5 years of experience in the software development industry.
At least 3 years' experience in backend systems and server-side development in Java.
Advance Proficiency in Java/J2EE and Python.
Good knowledge in working with Databases such as MySQL and MongoDB. Experience working with cloud databases (e.g. RDS, BigTable) and GraphDB is an added advantage.
Need to know how to work with message queues e.g. ActiveMQ/RabbitMQ
Experience working with Spring Boot Framework and Java Persistence API
Familiarity with enterprise system integration.
Advantageous to know SAML, OAuth.",5000-7000 Monthly
GOOGLE ASIA PACIFIC PTE. LTD.,,"Customer Engineer, Applied AI and Generative AI - Singapore",South,Full Time,Professional,Information Technology,10000,20000,Monthly,20,25 Mar 2024,"Google Singapore, 70 Pasir Panjang Rd 117371",3.0,08 Apr 2024,"Roles & Responsibilities
PRODUCT AREA
Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.
JOB DESCRIPTION
The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
ADDITIONAL JOB DESCRIPTION
As a Customer Engineer, you will work directly with technical Sales teams as a machine learning subject matter expert to differentiate Google Cloud to our customers. You will help prospective customers and partners understand the power of Google Cloud, explaining technical features, helping customers design architectures, and problem-solving any potential roadblocks. You'll work with customers and product development to shape the future of the AI/Gen AI platform.

Qualifications
JOB RESPONSIBILITIES
Work with the team to identify and qualify business opportunities, understand key customer technical objections, and develop the strategy to resolve technical blockers.
Provide in-depth machine learning expertise to support the technical relationship with Google’s customers, including product and solution briefings, proof-of-concept work, and partner directly with product management to prioritize solutions impacting customer adoption to Google Cloud.
Recommend integration strategies, enterprise architectures, platforms, and application infrastructure required to successfully implement a complete solution using best practices on Google Cloud.
Travel to customer sites, conferences, and other related events as needed.
MINIMUM QUALIFICATIONS
Bachelor's degree or equivalent practical experience.
3 years of experience in virtualization or cloud native architectures in a customer-facing or support role.
Experience with big data and machine learning frameworks (e.g., Tensorflow, PyTorch, or scikit-learn), and implementing MLOps at enterprise scale on cloud platforms.
Experience in pre-sales and consulting, delivering technical presentations, leading discovery, and planning sessions with customers with scope and success criteria.
PREFERRED QUALIFICATIONS
Experience in building and deploying data and ML pipelines with a focus on automation.
Experience building machine learning solutions, MLOps frameworks like Kubeflow, and leveraging specific machine learning architectures (e.g., deep learning, LSTM, convolutional networks, etc.).
Familiarity with prompt tuning and experience delivering successful prototypes.
Experience in understanding a complex customer’s existing software workloads, and the ability to define a technical migration roadmap to the cloud reflecting specific customer needs.
Familiarity with machine learning programming frameworks such as LangChain, PyTorch, HuggingFace, and TensorFlow.",10000-20000 Monthly
MENYALA SINGAPORE PTE. LTD.,,AI Engineer,Central,Permanent,Professional,Information Technology,10000,16000,Monthly,27,25 Mar 2024,"UE SQUARE, 83 CLEMENCEAU AVENUE 239920",6.0,08 Apr 2024,"Roles & Responsibilities
What is Menyala?
Menyala is a venture builder founded by Temasek, a global investment firm headquartered in Singapore. We empower builders to drive technological shifts.
What is the role?
Engineering is the team responsible for building solutions to the problems that Menyala targets to solve. AI Engineers will build concept to prototypes as well as early support of product builds, with subject matter expertise in the Generative AI space.
Responsibilities
In this role, you will:
Software Architecture & Design - Design and define solution architecture and key flows to deliver product and design requirements. Lead or own the technical design of components or entire applications. Use modern design and modeling techniques and design patterns across application, data, and cloud architecture.
Creative Engineering - Build key technical components for MVP (full stack) to support build-measure-learn cycles. Develop structured, readable, composable, enhanceable, reusable, and testable code with regular refactoring. Define technical interfaces for both front-end and back-end components.
Engineering Task Management - Estimate technical complexity and sizing of development efforts. Manage technical debt throughout product testing and definition phase.
Cross Cohort Collaboration - Provide engineering perspective to guide feasibility lens with PoC execution and metrics.
Knowledge Sharing - Articulate the performance implications of different design and implementation options, providing appropriate recommendations. Evaluate the strengths and weaknesses of proposed architecture for experiments and scaled solutions.
Engineering Practice Excellence - Implement Secure by Design principles in design and development.
Attributes
We are looking for AI Engineers with the following:
Tech Savvy - Get ready to dive into a range of tech stacks and explore diverse opportunity areas. We’re seeking individuals who love building MVPs, with expertise in AI.
Collaborates - We're all about teamwork here. You'll be working in small project teams, partnering up with our awesome product, design, and business squads to tackle opportunity areas together. Collaboration is the name of the game.
Cultivates Innovation - If you're the kind of person who's brimming with new ideas or solutions, you're exactly who we're looking for. If you’ve got a knack for building and demoing in hackathons, that’s a huge plus.
Nimble Learning - We're looking for someone who thrives in a startup environment. You're not afraid to dive in, get your hands dirty, and learn through experimentation when faced with fresh challenges. You’re always on the pulse of the latest technology trends and love working with new technologies, and immersing yourself in new industries.
Decision Quality - You’re someone who integrates various inputs, decision criteria, and trade-offs to make effective decisions from a tech perspective. If you're passionate about creating awesome products and solving problems with a 0 to 1 mindset, you're exactly who we need for this venture-building ride!",10000-16000 Monthly
AMAZON WEB SERVICES SINGAPORE PRIVATE LIMITED,,Generative AI Strategist,Central,Permanent,Professional,Information Technology,13000,25000,Monthly,29,25 Mar 2024,"AIA TOWER, 1 ROBINSON ROAD 048542",7.0,24 Apr 2024,"Roles & Responsibilities
Amazon Web Services (AWS) is looking for experienced and motivated business-oriented technologists who possess a unique balance of business knowledge, effective interpersonal skills, and some technological depth in the following areas: analytics/big data, machine learning and generative artificial intelligence. This role will focus on partnering with customers to enhance their business or operational outcomes through the use of advanced and emerging technologies.
You will partner with customers, AWS Sales, AWS service teams, AWS industry teams and AWS Professional Services delivery teams to craft industry-specific programs that will serve the needs of the customer, and extend that use to other customers within the industry and related industries. You will leverage and refine a programmatic approach to help customers drive their business metrics across a set of industry-specific needs. As a trusted customer advocate, the Generative AI Strategist will assess and deliver best practices around program delivery, project approaches, and business measurement. The ability to connect business value to a scalable, repeatable, extensible approach is critical to the Strategist role.
Key job responsibilities
Bring alignment between customer’s technologists and business leads; help them to explore the art of the possible with generative AI and machine learning, and to develop a roadmap to deliver business value in the most effective way
Discuss complex industry-specific business concepts with executives, line managers and technologists
Engage with various AWS teams, including applied scientists, solutions architects, business development, marketing, industry specialists, partners and regional organisations
Drive large, complex sales opportunities from ideation, through vision building and scoping, all the way to closure and into delivery
Conduct workshop sessions to identify opportunities with our customers to scope how they could deliver business value through the use of generative AI or machine learning

Basic qualifications
7+ years of professional experience
3+ years of experience in the industry as a ML practitioner or executive
Experience participating in the sales lifecycle (directly or indirectly)
Experience in management consulting or related work
Experience launching technically complex programs, projects, or related work that includes the following: Big Data, Analytics, Artificial Intelligence, and Machine Learning
Preferred qualifications
Executive communication skills
Writing communications skills
Experience with presenting to audiences of 5 to 50 people of various levels (developers to executives) and backgrounds (business, technical, operations)
Experience in management consulting or related
Advanced degree (e.g., MBA, MS)",13000-25000 Monthly
TALENTSIS PTE. LTD.,,Solution Architect (Data Analytics / AI / ML),Islandwide,Permanent,Manager,Information Technology,8000,10000,Monthly,2,25 Mar 2024,,6.0,24 Apr 2024,"Roles & Responsibilities
Job Responsibilities:
Analyses, designs and develops digitalisation roadmaps and implementation plans based on a current versus future state solutions architecture
Analyses the current architecture to identify weaknesses and identifies opportunities for improvement, and performs ongoing architecture quality review activities.
Leads and facilitates the solutions architecture governance processes by aligning to the enterprise architecture and manages exceptions to architectural standards at a solutions level
Assesses near-term needs to establish business priorities, analyses and develop solutions architectural requirements, and ensures alignment of architectural requirements with the IT strategy.
Work with customers to identify, design and develop AI/ML solutions to address their requirements, challenges and pain points.
Engage solution vendors to determine appropriate products that will meet customer DA/AI requirements
Support data analytics solutions response to RFQ and tenders, proposal development and provide post-sales support.
Lead and guide project team to develop and implement the solution
Exercise and continually develop leadership, management and technical skills
Job Requirements
Strong technical knowledge in software architecture, have breadth across technology stacks with deep hands on skills, and passionate about working with customers to help build applications at scale.
Knowledge of Continuous Integration/Continuous Delivery environment with change/version control process and methodologies.
Knowledge of networking, computing platform, storage, database, security, middleware, network and systems management, and related infrastructure technologies and practices.
Experience in designing and building DA/AI solutions (eg cloud native, microservices architecture using containers/Kubernetes), integrated with machine learning pipeline.
Experience in all stages of the project lifecycle, e.g. planning, requirements gathering, design documentation, testing, rollout and transition to Ops.
Experience in technical presentation, technical documentation.
(EA Reg No: 20C0312)
Interested applicants, kindly send in a copy of your resume to recruit@talentsis.com.sg for immediate processing.",8000-10000 Monthly
PULLEY ASCENT (ASIA) PTE. LTD.,,Senior AI Engineer,Islandwide,Permanent,Senior Executive,Information Technology,9000,15000,Monthly,7,25 Mar 2024,,8.0,24 Apr 2024,"Roles & Responsibilities
Key Responsibilities
Contribute to RF deployment planning through Google Network Planner and assess aggregate performance KPIs using Collab. Plot the network KPIs through PLX.
Lead and design, implemented, and used AI/ML models to process and analyze wireless network events data, ensuring high network sustainability.
Collaborate with domain experts to understand the software development requirements.
Support software development needs across the GFiber team. Backend OSS/BSS integration, SW updates, reboots, telemetry streaming, Google Home Wi-Fi AP testing (gWiFi) with Android/Pixel.
Frequent SW releases and regression testing (a few days - partially automated).
Requirements
Excellent communication skills, with the ability to collaborate effectively in a remote work environment across multiple time zones.
Strong analytical skills and the ability to work with large, complex data sets.
An ability to work full stack with data, data engineering experience.
Good with SW frameworks, python, and Google development tools. Engineers will be paired up with domain experts on any project. Our primary charter is to develop an automation framework.
Minimum Qualification
Minimum 8 years experience in Python software development.
Experience in wireless network performance assessment.
Research experience in AI/ML
Bachelor’s degree in computer/electronics/telecommunication engineering.
Preferred Qualification
Experienced in Fixed Wireless Access deployment planning and verification.
Familiar with the implementation of AI Models: Support vector Machine (SVM), K-nearest Neighbors (KNN), convolution neural network (CNN), long short-term memory (LSTM), Hidden Markov Model (HMM).",9000-15000 Monthly
PARALLELCHAIN LAB PRIVATE LIMITED,,"Machine Learning Engineer (Data Science, Artificial Intelligence / AI)",South,Full Time,Professional,Engineering,6500,8500,Monthly,132,24 Mar 2024,67 Ayer Rajah Crescent 139950,2.0,23 Apr 2024,"Roles & Responsibilities
ParallelChain Lab is seeking a rigorous, innovative problem-solver to join the Data Science team.

This is a full-time, on-site position based in Singapore.

Duties
Conduct research and data processing to support fintech application development.
Stay updated on recent advances in AI research.
Develop and enhance biometric deep learning models, such as face and voice authentication.
Propose benchmarks and test models to ensure production readiness.
Perform data analysis and communicate data insights.
Create APIs and collaborate with the DevOps team to deploy AI models into production.
Automate workflows to optimize performance.
Qualifications and Requirements
Bachelor’s Degree in Science or Engineering disciplines (e.g. Computer Science, Physics, Statistics, Electrical Engineering).
Minimum 2 years experience in Python-based AI projects; knowledge of other languages is a plus.
Solid understanding of machine learning (e.g. CNN, Transformers, pre-training, transfer learning).
Hands-on experience with machine learning libraries (e.g. PyTorch and TensorFlow).
Proficient in machine learning tools (e.g. Hugging Face, MLflow, PyTorch Lightning, Hydra).
Familiar with SQL and NoSQL databases.
Fluent in English.
Strict adherence to our code of ethics: respect doctrines of intellectual property rights, trade secret protection, and fiduciary duties.
Bonus: Master's or PhD.
Bonus: Experience with DevOps tools (e.g. Git, Docker, Nginx).
Bonus: Experience in signal processing (e.g. FFT).
Bonus: AI publications in peer-reviewed journals.
Benefits & Work Environment
Health insurance including dental coverage.
Special leave provisions such as marriage leave, compassionate leave.
Staff stock options and performance-based token rewards.
A diverse, multicultural, English-speaking work culture.
Notes
Include your Git (if any) in your resume.
Recent graduates (2022 or after) should also submit a copy of academic transcripts.",6500-8500 Monthly
LAWNET TECHNOLOGY SERVICES PTE. LTD.,,Senior AI Solutions Architect,East,Contract,Middle Management,Information Technology,6800,11000,Monthly,12,22 Mar 2024,"THE ADELPHI, 1 COLEMAN STREET 179803",5.0,21 Apr 2024,"Roles & Responsibilities
We are seeking an experienced technical manager to lead our engineering team. This team is responsible for the development of LTS AI products and management and optimisation of the platform supporting these developments. The role entails leading an engineering team towards the ongoing design, development and deployment of custom Large Language Models and the design and development of AI products that leverage these models.

Responsibilities
Develop and direct a high performing AI engineering team towards the deployment of scalable and reliable AI products for the legal sector.
Design and deploy end-to-end solutions to support the reliable service of the AI products to end-users.
Set, justify and present technical direction that is adaptable to continually evolving technological landscape.
Collaborate closely with stakeholders, including senior management, senior legal professionals, academics, as well as other engineering teams within the local AI ecosystem.
Coach engineering team to ensure their professional growth and technological development.
Skills and Qualifications
Bachelor's or Master's degree in Computer Science, Artificial Intelligence, Machine Learning, or related field.
Over 5 years of experience working as part of an AI/ML engineering team in a production environment, with at least 2 years in a leadership capacity.
Proficiency in Python and AI/ML frameworks (e.g. PyTorch, Tensor Flow).
Demonstrated experience in designing and developing scalable backend architectures.
Familiarity with natural language data processing techniques, tools and libraries.
Experience with containerization (Docker) and familiarity with orchestration techniques (Kubernetes).
Experience deploying solutions on cloud platforms, preferably with cloud certification.
Deep understanding and interest in LLM specific techniques, such as fine-tuning, prompt, engineering, LLM testing, and development of evaluation metrics, quantisation, PEFT.
Excellent communication skills for conveying technical concepts to non-technical stakeholders.",6800-11000 Monthly
CAREER ZOOM PTE. LTD.,Recommended based on your skills & job applications,Partner - Ai In Financial Services,Islandwide,Full Time,Senior Management,Consulting12 Years Exp,20000,25000,Monthly,35,05 Mar 2024,,12.0,04 Apr 2024,"Roles & Responsibilities
Overview:
Our client, one of the big 4s, is seeking a dynamic and experienced partner to lead their new AI in the financial services team in Singapore. This role is critical for driving innovation and delivering cutting-edge AI solutions across various banking sectors, including wholesale banking, retail wealth management, private banking, asset management, and regulatory technology.

Key Responsibilities:
·        Develop and execute a strategic plan to establish and grow the AI in FS domain at the firm.
·        Build and lead a high-performance team, including a Senior Manager for client relationships and a Manager for project delivery.
·        Drive business development and client engagement to achieve a revenue target of 1.5-2 million SGD in 2024, with plans for continued growth.
·        Liaise with regional and global teams within the firm to integrate AI solutions in financial services.
·        Provide thought leadership in AI applications within the FS industry, staying abreast of market trends and regulatory changes.
·        Foster a culture of innovation, collaboration, and excellence within the team.
·        Ensure the delivery of high-quality, tailored AI solutions that meet client needs and the firm's standards.
·        Develop and maintain strong relationships with the firm's stakeholders, clients, and partners in the financial sector.

Requirements
Required Qualifications:
·        A minimum of 12 years of experience in consulting or financial services, with a significant focus on AI and technology-driven solutions.
·        Proven track record of leading teams and achieving revenue targets in a consulting or financial services environment.
·        Strong understanding of the financial services industry in Singapore and Asia, with specific expertise in at least one of the following areas: wholesale banking, retail wealth management, private banking, asset management, or regulatory technology.
·        Excellent leadership, communication, and interpersonal skills.
·        Ability to navigate complex business environments and drive innovation.

Desired Qualifications:
·        Prior experience in a senior role at a consulting firm or financial institution.
·        A strong network within the financial services industry in Asia.
·        Advanced degree in Business, Finance, Technology, or a related field.",20000-25000 Monthly
